,VIX,S&P500,VBMFX,VFINX
2020-03-24,61.66999816894531,4987.7998046875,10.951504707336426,223.86270141601562
2020-03-25,63.95000076293945,5045.35009765625,10.990935325622559,226.44985961914062
2020-03-26,61.0,5360.490234375,11.059935569763184,240.58502197265625
2020-03-27,65.54000091552734,5179.919921875,11.158509254455566,232.48654174804688
2020-03-30,57.08000183105469,5354.39013671875,11.168366432189941,240.3074493408203
2020-03-31,53.540000915527344,5269.2001953125,11.20096206665039,236.48126220703125
2020-04-01,57.060001373291016,5036.64013671875,11.22071647644043,226.04344177246094
2020-04-02,50.90999984741211,5152.47021484375,11.23059368133545,231.24746704101562
2020-04-03,46.79999923706055,5075.16015625,11.23059368133545,227.7781219482422
2020-04-06,45.2400016784668,5432.169921875,11.22071647644043,243.7867431640625
2020-04-07,46.70000076293945,5423.52001953125,11.22071647644043,243.400146484375
2020-04-08,43.349998474121094,5609.5498046875,11.210840225219727,251.75633239746094
2020-04-09,41.66999816894531,5691.5400390625,11.279980659484863,255.43386840820312
2020-04-13,41.16999816894531,5634.14990234375,11.299735069274902,252.8566131591797
2020-04-14,37.7599983215332,5807.10009765625,11.319490432739258,260.6180725097656
2020-04-15,40.84000015258789,5679.52978515625,11.378756523132324,254.89857482910156
2020-04-16,40.11000061035156,5712.60009765625,11.398509979248047,256.37554931640625
2020-04-17,38.150001525878906,5865.89990234375,11.368877410888672,263.2547607421875
2020-04-20,43.83000183105469,5761.0,11.378756523132324,258.54632568359375
2020-04-21,45.40999984741211,5584.43994140625,11.388632774353027,250.62631225585938
2020-04-22,41.97999954223633,5712.64990234375,11.378756523132324,256.37554931640625
2020-04-23,41.380001068115234,5710.0400390625,11.388632774353027,256.2466735839844
2020-04-24,35.93000030517578,5789.64990234375,11.398509979248047,259.8250732421875
2020-04-27,33.290000915527344,5874.93994140625,11.349122047424316,263.6512756347656
2020-04-28,33.56999969482422,5844.18017578125,11.378756523132324,262.2734375
2020-04-29,31.229999542236328,5999.740234375,11.388632774353027,269.2518005371094
2020-04-30,34.150001525878906,5944.68017578125,11.390610694885254,266.7835998535156
2020-05-01,37.189998626708984,5778.52978515625,11.400507926940918,259.31951904296875
2020-05-04,35.970001220703125,5803.1201171875,11.390610694885254,260.4197998046875
2020-05-05,33.61000061035156,5855.580078125,11.380715370178223,262.77899169921875
2020-05-06,34.119998931884766,5815.169921875,11.341129302978516,260.9551086425781
2020-05-07,31.440000534057617,5884.14013671875,11.380715370178223,264.0577087402344
2020-05-08,27.979999542236328,5984.5498046875,11.341129302978516,268.5678405761719
2020-05-11,27.56999969482422,5985.66015625,11.311442375183105,268.6075134277344
2020-05-12,33.040000915527344,5863.68017578125,11.331233978271484,263.12591552734375
2020-05-13,35.279998779296875,5761.7001953125,11.351025581359863,258.5562744140625
2020-05-14,32.61000061035156,5829.330078125,11.370819091796875,261.5894775390625
2020-05-15,31.889999389648438,5852.83984375,11.370819091796875,262.64019775390625
2020-05-18,29.299999237060547,6037.89990234375,11.341129302978516,270.94683837890625
2020-05-19,30.530000686645508,5975.14990234375,11.370819091796875,268.1317138671875
2020-05-20,27.989999771118164,6075.759765625,11.390610694885254,272.641845703125
2020-05-21,29.530000686645508,6028.93017578125,11.400507926940918,270.5404052734375
2020-05-22,28.15999984741211,6044.16015625,11.410404205322266,271.224365234375
2020-05-26,28.010000228881836,6118.5400390625,11.400507926940918,274.5648498535156
2020-05-27,27.6200008392334,6209.3798828125,11.400507926940918,278.6388854980469
2020-05-28,28.59000015258789,6197.02001953125,11.400507926940918,278.0937194824219
2020-05-29,27.510000228881836,6227.81005859375,11.452066421508789,279.4715576171875
2020-06-01,28.229999542236328,6251.47998046875,11.452066421508789,280.52227783203125
2020-06-02,26.84000015258789,6303.0,11.452066421508789,282.83184814453125
2020-06-03,25.65999984741211,6389.669921875,11.422321319580078,286.7274475097656
2020-06-04,25.809999465942383,6369.5400390625,11.402491569519043,285.8155212402344
2020-06-05,24.520000457763672,6536.580078125,11.39257526397705,293.309326171875
2020-06-08,25.809999465942383,6615.39990234375,11.412406921386719,296.8480529785156
